active_branches,canonical_declining_slots,canonical_high_slots,declining_node,energy_difference_j,equal_cap,high_node,identity_classification,inverse_allocation_l1,inverse_declining_slots,inverse_high_slots,inverse_local_argmax_agreement,inverse_marginal_q_mae,inverse_projected_allocation_agreement,inverse_projected_allocation_disagreement,kind,optimizer_seed,probe_index,raw_allocation_l1,raw_local_argmax_agreement,raw_marginal_q_mae,raw_projected_action_agreement,round,seed,target_rank
58,0,1,47,4.6909737898948034e-05,True,9,fixed_branch_identity,2.0,1,0,1.0,0.026471341028809547,0.9655172413793104,0.034482758620689655,targeted_swap,3299,8,0.0,1.0,0.004189781844615936,1.0,9,2300,0
64,0,1,57,4.192587700291295e-06,True,16,fixed_branch_identity,2.0,1,0,0.953125,0.02963089384138584,0.96875,0.03125,targeted_swap,3299,9,0.0,0.984375,0.009566470980644226,1.0,10,2300,0
24,,,,,,,fixed_branch_identity,14.0,,,0.5,0.3283120393753052,0.4166666666666667,0.5833333333333334,random,4299,0,2.0,0.9166666666666666,0.09144164621829987,0.9166666666666666,0,2300,0
26,,,,,,,fixed_branch_identity,12.0,,,0.5,0.28358736634254456,0.5384615384615384,0.46153846153846156,random,4299,1,4.0,0.9615384615384616,0.04708949103951454,0.8461538461538461,2,2300,0
26,,,,,,,fixed_branch_identity,18.0,,,0.4230769230769231,0.33958232402801514,0.3076923076923077,0.6923076923076923,random,4299,2,4.0,0.8076923076923077,0.05156930163502693,0.8461538461538461,3,2300,0
31,,,,,,,fixed_branch_identity,12.0,,,0.41935483870967744,0.4108092188835144,0.6129032258064516,0.3870967741935484,random,4299,3,0.0,0.967741935483871,0.0668351799249649,1.0,4,2300,0
26,,,,,,,fixed_branch_identity,14.0,,,0.5769230769230769,0.37265920639038086,0.46153846153846156,0.5384615384615384,random,4299,4,2.0,0.9615384615384616,0.09013892710208893,0.9230769230769231,5,2300,0
25,,,,,,,fixed_branch_identity,16.0,,,0.36,0.3867415189743042,0.36,0.64,random,4299,5,2.0,0.92,0.12937331199645996,0.92,6,2300,0
26,,,,,,,fixed_branch_identity,16.0,,,0.5384615384615384,0.3295305669307709,0.38461538461538464,0.6153846153846154,random,4299,6,0.0,1.0,0.06750229001045227,1.0,7,2300,0
58,,,,,,,fixed_branch_identity,20.0,,,0.6551724137931034,0.3933528959751129,0.6551724137931034,0.3448275862068966,random,4299,7,0.0,0.896551724137931,0.09702099114656448,1.0,8,2300,0
58,,,,,,,fixed_branch_identity,14.0,,,0.4827586206896552,0.41142475605010986,0.7586206896551724,0.2413793103448276,random,4299,8,2.0,0.896551724137931,0.08633212745189667,0.9655172413793104,9,2300,0
