study,seed,policy,delivered,generated,energy_uj,delivery_pp,packets_per_j
guard,9700209,block,124,960,2665256,12.916666666666666,46.52461151949382
guard,9700209,guard,124,960,2784808,12.916666666666666,44.52730672994332
guard,9700209,prefix,124,960,2784808,12.916666666666666,44.52730672994332
guard,9700209,selective,84,960,2783032,8.75,30.18290842505584
guard,9700209,whole,80,960,2643936,8.333333333333334,30.257918497270737
guard,9700210,block,112,960,2704392,11.666666666666666,41.41411452185926
guard,9700210,guard,112,960,2784128,11.666666666666666,40.22803549262103
guard,9700210,prefix,112,960,2784128,11.666666666666666,40.22803549262103
guard,9700210,selective,96,960,2785408,10.0,34.465327880152564
guard,9700210,whole,96,960,2643936,10.0,36.309502196724885
guard,9700211,block,100,384,2629120,26.041666666666668,38.035540408958134
guard,9700211,guard,100,384,2755632,26.041666666666668,36.289315844786245
guard,9700211,prefix,100,384,2755632,26.041666666666668,36.289315844786245
guard,9700211,selective,84,384,2765872,21.875,30.370168973835376
guard,9700211,whole,96,384,2618064,25.0,36.66831674092001
guard,9700212,block,108,480,2677436,22.5,40.33709862719408
guard,9700212,guard,108,480,2779216,22.5,38.859879908578534
guard,9700212,prefix,108,480,2778612,22.5,38.868327064016135
guard,9700212,selective,88,480,2783452,18.333333333333332,31.61541855221502
guard,9700212,whole,68,480,2639624,14.166666666666666,25.76124478334793
guard,9700213,block,128,672,2682224,19.047619047619047,47.72159223092479
guard,9700213,guard,128,672,2784032,19.047619047619047,45.9764830289307
guard,9700213,prefix,128,672,2784032,19.047619047619047,45.9764830289307
guard,9700213,selective,96,672,2793336,14.285714285714286,34.36750895703202
guard,9700213,whole,112,672,2643936,16.666666666666668,42.36108589617903
guard,9700214,block,108,672,2673784,16.071428571428573,40.392193236252446
guard,9700214,guard,110,672,2783464,16.36904761904762,39.519102815772
guard,9700214,prefix,112,672,2783464,16.666666666666668,40.23763195787695
guard,9700214,selective,88,672,2785616,13.095238095238095,31.59085818002194
guard,9700214,whole,76,672,2622376,11.30952380952381,28.981351263129316
guard,9700215,block,134,1056,2665612,12.68939393939394,50.26988173822747
guard,9700215,guard,134,1056,2784268,12.68939393939394,48.12755093978022
guard,9700215,prefix,134,1056,2784268,12.68939393939394,48.12755093978022
